base_pos_m,x0_m,input_force_N
0.0010625521267723101,0.0009541271711925444,0.13568990374402753
0.0010742285237698081,0.0009643024670353651,0.13753012634079922
0.001085904920767306,0.0009744681278906226,0.13938110037421975
0.0010975813177648039,0.0009846240709188796,0.1412429065598198
0.0011092577147623019,0.0009947702140008972,0.14311562461559182
0.0011209341117597998,0.001004906475746516,0.14499933326032355
0.0011326105087572976,0.001015032774943606,0.14689411010706233
0.0011442869057547956,0.0010251490309570988,0.1488000317321106
0.0011559633027522936,0.0010352551640852431,0.15071717373910326
0.0011676396997497914,0.0010453510948387136,0.15264561061960719
0.0011793160967472893,0.0010554367441688872,0.15458541579139545
0.0011909924937447873,0.0010655120339228288,0.15653666168271693
0.001202668890742285,0.0010755768864058914,0.15849941964576592
0.001214345287739783,0.0010856312242103474,0.16047375991922155
0.001226021684737281,0.0010956749706908615,0.1624597517178667
0.0012376980817347789,0.0011057080499498298,0.16445746322833657
0.0012493744787322768,0.0011157303862383945,0.16646696148737916
0.0012610508757297748,0.0011257419044777808,0.1684883124822321
0.0012727272727272726,0.0011357425304926298,0.1705215811967697
0.0012844036697247706,0.0011457321902203649,0.172566831449447
0.0012960800667222686,0.0011557108101906892,0.17462412598741364
0.0013077564637197663,0.001165678317909562,0.17669352656498116
0.0013194328607172643,0.0011756346410047565,0.17877509376579626
0.0013311092577147623,0.0011855797076401372,0.18086888708574259
0.00134278565471226,0.0011955134469886165,0.1829749650320933
0.001354462051709758,0.0012054357883538192,0.18509338493754154
0.001366138448707256,0.0012153466615503821,0.18722420303808662
0.0013778148457047538,0.0012252459974164218,0.18936747458317374
0.0013894912427022518,0.0012351337269054363,0.1915232536398641
0.0014011676396997498,0.0012450097814978,0.19369159317960555
0.0014128440366972476,0.0012548740936932149,0.19587254518685854
0.0014245204336947456,0.0012647265960649572,0.1980661604511387
0.0014361968306922436,0.0012745672217801412,0.20027248868023165
0.0014478732276897413,0.0012843959049795837,0.20249157858659314
0.0014595496246872393,0.0012942125798297468,0.20472347767454926
0.0014712260216847373,0.0013040171812194294,0.20696823239650777
0.001482902418682235,0.001313809644877806,0.20922588818207158
0.001494578815679733,0.0013235899065492805,0.21149648924873815
0.001506255212677231,0.00133335790290134,0.21378007881128738
0.0015179316096747288,0.0013431135711506205,0.21607669899734677
0.0015296080066722268,0.0013528568486522554,0.21838639075072427
0.0015412844036697248,0.0013625876738539158,0.22070919405769598
0.0015529608006672226,0.0013723059853803093,0.22304514773197354
0.0015646371976647205,0.0013820117222867855,0.2253942894746332
0.0015763135946622185,0.0013917048246685233,0.22775665602365766
0.0015879899916597163,0.0014013852325709913,0.23013228289147034
0.0015996663886572143,0.001411052886864181,0.23252120457847192
0.0016113427856547123,0.0014207077290659645,0.2349234545332416
0.00162301918265221,0.0014303497007472476,0.2373390650059516
0.001634695579649708,0.0014399787446097235,0.23976806731912845
0.001646371976647206,0.001449594803410595,0.24221049160099692
0.0016580483736447038,0.001459197820485789,0.24466636691795093
0.0016697247706422018,0.0014687877400437965,0.24713572135333964
0.0016814011676396998,0.0014783645062072708,0.24961858176374693
0.0016930775646371975,0.001487928064217671,0.2521149740917697
0.0017047539616346955,0.001497478359415864,0.2546249231052539
0.0017164303586321935,0.0015070153376658866,0.2571484525089157
0.0017281067556296913,0.0015165389457014262,0.25968558503996375
0.0017397831526271893,0.0015260491301530112,0.26223634221255676
0.0017514595496246873,0.0015355458387990956,0.2648007446543514
0.001763135946622185,0.0015450290193870643,0.2673788117939596
0.001774812343619683,0.0015544986203765304,0.26997056206349057
0.001786488740617181,0.0015639545908413275,0.27257601287678457
0.0017981651376146788,0.0015733968799118774,0.27519518047878383
0.0018098415346121768,0.0015828254378214893,0.2778280802381778
0.0018215179316096747,0.001592240214600537,0.28047472628844267
0.0018331943286071725,0.0016016411613605246,0.2831351318896877
0.0018448707256046705,0.0016110282292563533,0.2858093091414529
0.0018565471226021685,0.0016204013700621682,0.2884972691481416
0.0018682235195996663,0.0016297605361601571,0.2911990220210581
0.0018798999165971643,0.001639105680000611,0.29391457672629573
0.0018915763135946622,0.0016484367550651249,0.2966439413676346
0.00190325271059216,0.0016577537146176117,0.2993871228271798
0.001914929107589658,0.0016670565130683637,0.3021441271685902
0.001926605504587156,0.0016763451046171616,0.3049149592419294
0.0019382819015846538,0.0016856194444745257,0.3076996230494104
0.0019499582985821517,0.0016948794878578737,0.3104981214508992
0.0019616346955796497,0.0017041251906870657,0.3133104563763072
0.0019733110925771475,0.0017133565092341157,0.31613662872506254
0.0019849874895746453,0.001722573400097416,0.3189766383618459
0.0019966638865721435,0.001731775820570843,0.32183048423495775
0.0020083402835696412,0.0017409637279721783,0.324698164173335
0.002020016680567139,0.0017501370805346438,0.32757967516817404
0.0020316930775646372,0.0017592958363384546,0.33047501304378846
0.002043369474562135,0.001768439954494156,0.33338417283432475
0.0020550458715596328,0.0017775693938674672,0.33630714838526904
0.002066722268557131,0.001786684114402191,0.33924393277928155
0.0020783986655546287,0.0017957840757565429,0.34219451790440997
0.0020900750625521265,0.0018048692386770035,0.3451588949017131
0.0021017514595496247,0.0018139395636096259,0.3481370537199461
0.0021134278565471225,0.0018229950120820814,0.3511289835715195
0.0021251042535446203,0.0018320355453163753,0.35413467248204983
0.0021367806505421185,0.001841061125604626,0.3571541077500002
0.0021484570475396162,0.0018500717149300134,0.36018727549331686
0.002160133444537114,0.0018590672763328076,0.36323416111157025
0.002171809841534612,0.0018680477725439828,0.36629474883120394
0.00218348623853211,0.0018770131673318824,0.3693690221668483
0.0021951626355296077,0.0018859634241675278,0.37245696347176116
0.002206839032527106,0.0018948985075193073,0.37555855438695873
0.0022185154295246037,0.001903818381600325,0.37867377541449426
0.0022301918265221015,0.0019127230115389235,0.38180260632887475
0.0022418682235195997,0.0019216123623062094,0.3849450258081803
0.0022535446205170975,0.001930486399634291,0.38810101176163725
0.0022652210175145952,0.0019393450892861046,0.3912705410774853
0.0022768974145120934,0.0019481883975254466,0.39445358979480766
0.002288573811509591,0.0019570162909502797,0.3976501330502404
0.002300250208507089,0.001965828736302791,0.40086014501409745
