x_m,force_N
0.0029400000000000003,0.8929711399150355
0.0029600000000000004,0.906340905860707
0.0029800000000000004,0.9198590473794118
0.003,0.9335265670088053
0.00302,0.9473444672865438
0.00304,0.9613137507502825
0.0030600000000000002,0.9754354199376771
0.0030800000000000003,0.9897104773863832
0.0031000000000000003,1.0041399256340564
0.0031200000000000004,1.0187247672183526
0.0031400000000000004,1.033466004676927
0.00316,1.0483646405474352
0.00318,1.0634216773675333
0.0032,1.078638117674877
0.00322,1.0940149640071213
0.0032400000000000003,1.1095532189019224
0.0032600000000000003,1.1252538848969356
0.0032800000000000004,1.1411179645298166
0.0033000000000000004,1.157146460338221
0.0033200000000000005,1.1733403748598048
0.00334,1.1897007106322226
0.00336,1.2062284701931314
0.00338,1.222924656080186
0.0034000000000000002,1.2397902708310422
0.0034200000000000003,1.2568263169833558
0.0034400000000000003,1.2740337970747821
0.0034600000000000004,1.291413713642977
0.0034800000000000005,1.3089670692255961
0.0035,1.3266948663602947
0.00352,1.3445981075847286
0.00354,1.362677795436554
0.0035600000000000002,1.380934932453426
0.0035800000000000003,1.399370521173
0.0036000000000000003,1.4179855641329322
0.0036200000000000004,1.4367810638708778
0.0036400000000000004,1.4557580229244926
0.0036600000000000005,1.4749174438314325
0.00368,1.4942603291293521
0.0037,1.5137876813559084
0.00372,1.5335005030487565
0.0037400000000000003,1.5533997967455515
0.0037600000000000003,1.5734865649839498
0.0037800000000000004,1.5937618103016067
0.0038000000000000004,1.6142265352361775
0.0038200000000000005,1.6348817423253188
0.0038400000000000005,1.6557284341066851
0.00386,1.676767613117932
0.00388,1.6980002818967166
0.0039000000000000003,1.719427442980693
0.003920000000000001,1.7410500989075184
0.00394,1.7628692522148457
0.00396,1.7848859054403334
0.00398,1.8071010611216363
0.004,1.829515721796409
0.00402,1.8521308900023083
0.00404,1.8749475682769896
0.00406,1.8979667591581078
0.00408,1.9211894651833197
0.0041,1.9446166888902798
0.00412,1.9682494328166444
0.0041400000000000005,1.992088699500069
0.0041600000000000005,2.016135491478209
0.0041800000000000006,2.0403908112887206
0.004200000000000001,2.0648556614692586
0.004220000000000001,2.0895310445574795
0.004240000000000001,2.1144179630910385
0.004260000000000001,2.139517419607591
0.00428,2.1648304166447914
0.0043,2.190357956740298
0.00432,2.216101042431766
0.00434,2.24206067625685
0.00436,2.2682378607532057
0.00438,2.294633598458489
0.0044,2.321248891910355
0.00442,2.348084743646461
0.00444,2.37514215620446
0.00446,2.40242213212201
0.0044800000000000005,2.429925673936765
0.0045000000000000005,2.4576537841863817
0.004520000000000001,2.485607465408515
0.004540000000000001,2.513787720140822
0.004560000000000001,2.542195550920956
0.004580000000000001,2.5708319602865743
0.004600000000000001,2.599697950775332
0.00462,2.628794524924883
0.00464,2.658122685272887
0.00466,2.687683434356997
0.00468,2.717477774714869
0.0047,2.7475067088841585
0.00472,2.7777712394025214
0.00474,2.8082723688076126
0.00476,2.8390110996370885
0.00478,2.8699884344286053
0.0048000000000000004,2.9012053757198175
0.0048200000000000005,2.932662926048381
0.0048400000000000006,2.9643620879519514
0.004860000000000001,2.9963038639681843
0.004880000000000001,3.0284892566347357
0.004900000000000001,3.060919268489261
0.004920000000000001,3.0935949020694165
0.004940000000000001,3.126517159912857
0.00496,3.1596870445572356
0.00498,3.1931055585402133
0.005,3.2267737043994433
