t_s,x0_m,x1_m,x2_m,v0_m_per_s,v1_m_per_s,v2_m_per_s
8.4e-05,1.2413890722479237e-10,1.1540048399984791e-13,2.8244559873806996e-17,5.906927696463044e-06,7.767809378502629e-09,2.235565575804674e-12
8.599999999999999e-05,1.3638035642703708e-10,1.3182729175791044e-13,3.302821941411656e-17,6.3383153348817425e-06,8.673905748538808e-09,2.554712002022748e-12
8.8e-05,1.4950496173281292e-10,1.5014744222693667e-13,3.848645662339183e-17,6.7901720297756415e-06,9.66214769723873e-09,2.91074486074351e-12
8.999999999999999e-05,1.6355413171260478e-10,1.705306077053377e-13,4.469631874685394e-17,7.2629681777072884e-06,1.0737959297108888e-08,3.306978354112616e-12
9.2e-05,1.7857021540336282e-10,1.9315753907776328e-13,5.174169664105598e-17,7.7571738476938e-06,1.1906995945808843e-08,3.746943592878196e-12
9.4e-05,1.9459650164868997e-10,2.1822053317771638e-13,5.971376772385343e-17,8.273258776486417e-06,1.3175149077273224e-08,4.234397763806713e-12
9.6e-05,2.1167721842959495e-10,2.459239095660558e-13,6.871145744392282e-17,8.811692363856259e-06,1.4548550866460424e-08,4.773333481763838e-12
9.8e-05,2.2985753218582273e-10,2.76484496712547e-13,7.884191963888292e-17,9.372943667886342e-06,1.6033578927635492e-08,5.367988326184069e-12
9.999999999999999e-05,2.491835471277756e-10,3.1013212756744263e-13,9.022103615051697e-17,9.957481400269989e-06,1.7636861006097403e-08,6.022854561649173e-12
0.000102,2.697023045390373e-10,3.4711014450986743e-13,1.0297393606503017e-16,1.0565773921615688e-05,1.9365279663241708e-08,6.742689042291381e-12
0.000104,2.914617820695138e-10,3.8767591365961234e-13,1.1723553494570467e-16,1.1198289236758518e-05,2.1225976954882572e-08,7.53252329973356e-12
0.000106,3.1451089301920284e-10,4.3210134853872503e-13,1.3315109442473537e-16,1.1855494990078256e-05,2.3226359102717364e-08,8.397673814274453e-12
0.000108,3.388994856126076e-10,4.806734430691266e-13,1.5087680252044124e-16,1.253785846082421e-05,2.5374101158865058e-08,9.343752469023422e-12
0.00010999999999999999,3.646783422638055e-10,5.336948138922737e-13,1.705803750454529e-16,1.3245846558446912e-05,2.7677151663356455e-08,1.0376677186685228e-11
