base_pos_m,x0_m,x1_m,input_force_N
0.002775646371976647,0.0025255934907468464,0.0016755406095170454,0.30467425895230366
0.0027889908256880733,0.002536662386571225,0.0016843339474543761,0.3073125641732903
0.0028023352793994996,0.0025477206456869404,0.0016931060119743813,0.3099607483737727
0.002815679733110926,0.002558768267567361,0.001701856802023796,0.31261877734749477
0.0028290241868223517,0.002569805252389508,0.0017105863179566643,0.31528661637194455
0.002842368640533778,0.0025808316003291033,0.0017192945601244283,0.3179642297940698
0.0028557130942452043,0.0025918473125148716,0.0017279815307845393,0.3206515816299334
0.0028690575479566305,0.0026028523899342504,0.0017366472319118706,0.32334863490683907
0.002882402001668057,0.0026138468345064557,0.0017452916673448547,0.3260553523421862
0.0028957464553794826,0.0026248306481184164,0.0017539148408573502,0.3287716957593525
0.002909090909090909,0.0026358038333478043,0.0017625167576046995,0.3314976265542346
0.002922435362802335,0.002646766393032828,0.0017710974232633214,0.3342331054407621
0.0029357798165137615,0.0026577183303315133,0.0017796568441492654,0.3369780925015314
0.0029491242702251877,0.002668659649009911,0.0017881950277946338,0.3397325473879588
0.002962468723936614,0.002679590352832227,0.0017967119817278395,0.3424964289424594
0.00297581317764804,0.002690510446384512,0.0018052077151209844,0.345269695745315
0.002989157631359466,0.0027014199340837826,0.0018136822368080992,0.3480523054853861
0.0030025020850708924,0.0027123188212425215,0.0018221355574141508,0.350844215669646
0.0030158465387823187,0.0027232071129605706,0.001830567687138823,0.35364538290962305
0.003029190992493745,0.0027340848152020802,0.0018389786379104157,0.35645576364663967
0.0030425354462051708,0.002744951933763187,0.001847368421321203,0.35927531348022657
0.003055879899916597,0.002755808475201419,0.0018557370504862403,0.36210398780252345
0.0030692243536280233,0.0027666544460084224,0.0018640845383888212,0.36494174125653506
0.0030825688073394496,0.002777489853291043,0.0018724108992426367,0.3677885282094398
0.003095913261050876,0.0027883147042236196,0.0018807161473963635,0.3706443023943786
0.0031092577147623017,0.002799129006430328,0.0018890002980983542,0.373509017184474
0.003122602168473728,0.0028099327677449516,0.0018972633670161752,0.3763826254415716
0.0031359466221851542,0.0028207259962885344,0.0019055053703919145,0.3792650795823003
0.0031492910758965805,0.002831508700519488,0.0019137263251423954,0.38215633162652524
0.0031626355296080068,0.002842280889050254,0.001921926248492501,0.38505633308139015
0.0031759799833194326,0.002853042570918649,0.001930105158517865,0.3879650351453193
0.003189324437030859,0.002863793755225299,0.0019382630734197392,0.3908823884637868
0.003202668890742285,0.0028745344515460057,0.0019464000123497259,0.39380834343532495
0.0032160133444537114,0.002885264669463059,0.001954515994472407,0.3967428498884425
0.0032293577981651377,0.0028959844190531154,0.0019626110399410934,0.39968585744479485
0.0032427022518765635,0.002906693710371279,0.001970685168865994,0.4026373151581113
0.00325604670558799,0.002917392553960509,0.0019787384023330283,0.40559717189651595
0.003269391159299416,0.002928080960339256,0.001986770761379096,0.4085653759798099
0.0032827356130108423,0.0029387589404831407,0.001994782267955439,0.4115418755450898
0.0032960800667222686,0.002949426505365461,0.0020027729440086537,0.41452661821889225
0.003309424520433695,0.002960083666360198,0.002010742812286701,0.4175195514278027
0.0033227689741451207,0.0029707304348895124,0.0020186918956339043,0.4205206221467499
0.003336113427856547,0.002981366822689279,0.0020266202175220115,0.4235297771091651
0.0033494578815679733,0.0029919928416284984,0.0020345278016890233,0.4265469626821884
0.0033628023352793995,0.0030026085037676295,0.0020424146722558597,0.42957212492124597
0.003376146788990826,0.0030132138214176134,0.0020502808538444012,0.43260520962654125
0.0033894912427022516,0.0030238088069347675,0.0020581263711672835,0.43564616219565844
0.003402835696413678,0.003034393473055048,0.0020659512496964184,0.4386949278925566
0.003416180150125104,0.0030449678324156446,0.0020737555147061857,0.44175145148643463
0.0034295246038365305,0.0030555318981510806,0.002081539192465631,0.4448156777271283
0.0034428690575479567,0.003066085683173706,0.002089302308799455,0.4478875507911287
0.0034562135112593826,0.0030766292009813487,0.002097044890703315,0.45096701492794644
0.003469557964970809,0.0030871624647661987,0.0021047669645615887,0.4540540137644529
0.003482902418682235,0.003097685488344235,0.0021124685580062347,0.4571484910541448
0.0034962468723936614,0.003108198285203577,0.002120149698013492,0.46025038992593986
0.0035095913261050877,0.00311870086942228,0.0021278104127394728,0.4633596536310006
0.0035229357798165135,0.00312919325481289,0.0021354507298092674,0.4664762248617002
0.0035362802335279398,0.0031396754556475954,0.002143070677767251,0.4696000463487798
0.003549624687239366,0.0031501474861051707,0.0021506702849709756,0.4727310604203848
0.0035629691409507923,0.0031606093605800424,0.0021582495802092926,0.47586920926317
0.0035763135946622186,0.0031710610936467034,0.002165808592631188,0.4790144349034352
0.003589658048373645,0.0031815026997916965,0.0021733473512097483,0.4821666789924955
0.0036030025020850707,0.003191934193934119,0.0021808658857831674,0.48532588324968745
0.003616346955796497,0.003202355590704163,0.00218836422561183,0.48849198886678497
0.0036296914095079232,0.003212766905273257,0.002195842401038591,0.49166493721445487
0.0036430358632193495,0.003223168152487787,0.0022033004417562245,0.4948446691191182
0.0036563803169307758,0.003233559347661721,0.0022107383783926664,0.49803112554317425
0.0036697247706422016,0.003243940505947466,0.0022181562412527307,0.5012242470577829
0.003683069224353628,0.0032543116426918626,0.0022255540610300975,0.504423974154287
0.003696413678065054,0.003264672773410597,0.00223293186875614,0.5076302472319394
0.0037097581317764804,0.003275023913454964,0.002240289695133448,0.5108430063156556
0.0037231025854879067,0.0032853650786185407,0.002247627571749175,0.5140621915921091
0.0037364470391993325,0.0032956962843666286,0.002254945529533925,0.5172877427438678
0.003749791492910759,0.003306017546621524,0.0022622436003322897,0.5205195996455731
0.003763135946622185,0.003316328881098035,0.0022695218155738854,0.5237577017865346
0.0037764804003336113,0.003326630303699596,0.0022767802070655808,0.5270019886271159
0.0037898248540450376,0.003336921830477978,0.002284018806910919,0.5302523995720719
0.0038031693077564634,0.0033472034772848948,0.0022912376468133258,0.5335088736642262
0.0038165137614678897,0.0033574752603960406,0.0022984367593241917,0.5367713501528404
0.003829858215179316,0.003367737195770532,0.002305616176361748,0.5400397678321468
0.0038432026688907423,0.003377989299711764,0.0023127759305327862,0.5433140656461369
0.0038565471226021685,0.0033882315884679426,0.0023199160543337168,0.5465941823333127
0.0038698915763135944,0.0033984640782343386,0.0023270365801550826,0.5498800564330716
0.0038832360300250206,0.0034086867855211227,0.002334137541017225,0.5531716266317666
0.003896580483736447,0.003418899726528309,0.0023412189693201705,0.5564688311912178
0.003909924937447873,0.0034291029178209432,0.0023482808981940134,0.5597716085805386
0.0039232693911592995,0.0034392963758316302,0.002355323360503961,0.5630798970205385
0.003936613844870726,0.0034494801169964455,0.0023623463891221655,0.5663936346147301
0.003949958298582152,0.00345965415800531,0.0023693500174284685,0.5697127595923999
0.003963302752293578,0.003469818515250337,0.002376334278207096,0.5730372097926896
0.003976647206005004,0.0034799732054563264,0.0023832992049076488,0.576366923267643
0.00398999165971643,0.0034901182452368165,0.0023902448307572027,0.5797018378669067
0.004003336113427856,0.0035002536511547573,0.0023971711888816586,0.5830418912990526
0.0040166805671392825,0.003510379440041188,0.0024040783129430933,0.586387021444808
0.004030025020850709,0.003520495628432213,0.002410966236013718,0.5897371658186783
0.004043369474562135,0.00353060223312284,0.002417834991683545,0.5930922621098744
0.004056713928273561,0.0035406992708918905,0.00242468461351022,0.5964522479220673
0.004070058381984988,0.0035507867583455927,0.0024315151347061976,0.5998170606233953
0.004083402835696414,0.0035608647123926145,0.002438326589088815,0.6031866378185936
0.00409674728940784,0.003570933149704667,0.0024451190100014944,0.6065609168229317
0.004110091743119266,0.0035809920870492618,0.0024518924309792577,0.6099398349946191
0.004123436196830692,0.003591041541325297,0.0024586468858199023,0.6133233297771293
0.004136780650542118,0.0036010815291637245,0.0024653824077853306,0.616711338303928
0.004150125104253544,0.003611112067442394,0.0024720990306312442,0.6201037979185785
