t_s,x0_m,v0_m_per_s
0.000542,1.0797941148480499e-05,0.0709524144787709
0.000544,1.0940467292678512e-05,0.07157413261710484
0.0005459999999999999,1.1084239016739666e-05,0.07219799121638107
0.000548,1.1229260584883751e-05,0.0728239735550021
0.0005499999999999999,1.1375536227783782e-05,0.07345206280805254
0.000552,1.1523070142360757e-05,0.07408224204869464
0.000554,1.167186649158122e-05,0.07471449424956651
0.000556,1.1821929404257596e-05,0.07534880228418345
0.000558,1.1973262974851361e-05,0.07598514892834167
0.00056,1.2125871263279012e-05,0.07662351686152462
0.000562,1.2279758294720835e-05,0.07726388866831184
0.0005639999999999999,1.2434928059432528e-05,0.07790624683979008
0.000566,1.259138451255961e-05,0.07855057377496676
0.0005679999999999999,1.2749131573954686e-05,0.07919685178218551
0.00057,1.2908173127997541e-05,0.07984506308054375
0.000572,1.306851302341806e-05,0.08049518980131225
0.000574,1.3230155073121996e-05,0.08114721398935656
0.000576,1.3393103054019583e-05,0.08180111760456003
0.000578,1.3557360706857001e-05,0.08245688252324872
0.00058,1.3722931736050679e-05,0.08311449053961759
0.0005819999999999999,1.3889819809524467e-05,0.08377392336715826
0.000584,1.4058028558549656e-05,0.08443516264008806
0.0005859999999999999,1.4227561577587861e-05,0.08509818991478031
0.000588,1.4398422424136759e-05,0.0857629866711958
0.0005899999999999999,1.4570614618578702e-05,0.08642953431431528
0.000592,1.4744141644032188e-05,0.08709781417557275
0.000594,1.49190069462062e-05,0.08776780751428968
0.000596,1.5095213933257418e-05,0.0884394955191101
0.000598,1.52727659756503e-05,0.08911285930943598
0.0006,1.5451666406020036e-05,0.08978787993686352
0.000602,1.563191851903836e-05,0.09046453838661955
0.0006039999999999999,1.5813525571282264e-05,0.0911428155789985
0.000606,1.599649078110557e-05,0.0918226923707995
0.0006079999999999999,1.6180817328513356e-05,0.09250414955676348
0.00061,1.6366508355039306e-05,0.0931871678710107
0.000612,1.655356696362588e-05,0.09387172798847775
0.000614,1.67419962185074e-05,0.0945578105263548
0.000616,1.6931799145095995e-05,0.09524539604552222
0.000618,1.7122978729870406e-05,0.09593446505198717
0.00062,1.731553792026768e-05,0.09662499799831961
0.0006219999999999999,1.750947962457774e-05,0.09731697528508762
0.000624,1.7704806711840804e-05,0.09801037726229238
0.0006259999999999999,1.7901522011747688e-05,0.09870518423080216
0.000628,1.8099628314542983e-05,0.0994013764437856
0.0006299999999999999,1.8299128370931078e-05,0.10009893410814408
0.000632,1.850002489198506e-05,0.10079783738594289
0.000634,1.8702320549058473e-05,0.10149806639584157
0.000636,1.890601797369994e-05,0.10219960121452272
0.000638,1.911111975757063e-05,0.10290242187811983
0.0006399999999999999,1.9317628452364582e-05,0.10360650838364341
0.000642,1.9525546569731898e-05,0.10431184069040582
0.0006439999999999999,1.973487658120476e-05,0.1050183987214445
0.000646,1.994562091812631e-05,0.10572616236494349
0.0006479999999999999,2.0157781971582352e-05,0.10643511147565303
0.00065,2.0371362092335914e-05,0.10714522587630765
0.000652,2.0586363590764625e-05,0.10785648535904196
0.000654,2.0802788736800934e-05,0.10856886968680468
0.000656,2.1020639759875148e-05,0.10928235859477031
0.000658,2.123991884886129e-05,0.10999693179174867
0.00066,2.1460628152025784e-05,0.11071256896159216
0.0006619999999999999,2.168276977697895e-05,0.11142924976460074
0.000664,2.1906345790629288e-05,0.11214695383892401
0.0006659999999999999,2.2131358219140588e-05,0.1128656608019611
0.000668,2.2357809047891818e-05,0.11358535025175784
0.00067,2.258570022143982e-05,0.1143060017684011
0.000672,2.2815033643484785e-05,0.11502759491541023
0.000674,2.30458111768385e-05,0.11575010924112572
0.000676,2.3278034643395384e-05,0.1164735242800948
0.000678,2.3511705824106277e-05,0.11719781955445382
0.0006799999999999999,2.3746826458955003e-05,0.11792297457530769
0.000682,2.3983398246937683e-05,0.11864896884410588
0.0006839999999999999,2.4221422846044797e-05,0.1193757818540151
0.000686,2.4460901873245985e-05,0.1201033930912885
0.0006879999999999999,2.47018369044776e-05,0.12083178203663157
0.00069,2.4944229474632954e-05,0.12156092816656423
0.000692,2.5188081077555324e-05,0.1222908109547792
0.000694,2.5433393166033644e-05,0.12302140987349676
0.000696,2.5680167151800913e-05,0.12375270439481574
0.0006979999999999999,2.59284044055353e-05,0.12448467399206033
0.0007,2.6178106256863943e-05,0.1252172981411231
0.0007019999999999999,2.642927399436942e-05,0.1259505563218037
0.000704,2.66819088655989e-05,0.12668442801914384
0.0007059999999999999,2.6936012077075967e-05,0.12741889272475745
0.000708,2.7191584794315065e-05,0.12815392993815702
0.00071,2.7448628141838652e-05,0.12888951916807523
0.000712,2.7707143203196938e-05,0.1296256399337824
0.000714,2.796713102099027e-05,0.13036227176639895
0.000716,2.8228592596894158e-05,0.13109939421020386
0.000718,2.849152889168689e-05,0.13183698682393769
0.0007199999999999999,2.875594082527975e-05,0.13257502918210146
0.000722,2.9021829276749824e-05,0.1333135008762505
0.0007239999999999999,2.928919508437543e-05,0.13405238151628304
0.000726,2.9558039045674053e-05,0.13479165073172425
0.0007279999999999999,2.982836191744291e-05,0.1355312881730051
0.00073,3.010016441580201e-05,0.13627127351273602
0.000732,3.0373447216239798e-05,0.13701158644697517
0.000734,3.06482109536613e-05,0.137752206696492
0.000736,3.092445622243883e-05,0.13849311400802466
0.0007379999999999999,3.1202183576465156e-05,0.13923428815553276
0.00074,3.148139352920921e-05,0.1399757089414442
0.0007419999999999999,3.176208655377424e-05,0.14071735619789638
0.000744,3.204426308295849e-05,0.14145920978797225
0.0007459999999999999,3.2327923509318325e-05,0.1422012496069301
0.000748,3.2613068185233793e-05,0.14294345558342805
0.00075,3.289969742297664e-05,0.14368580768074266
